[7/20/2026 1:01:45 PM] watcher start
[7/20/2026 1:01:45 PM] pid 16516: unthrottled=True
[7/20/2026 1:01:45 PM] pid 28368: unthrottled=True
[7/20/2026 1:06:45 PM] pid 14196: unthrottled=True
[7/20/2026 1:06:46 PM] pid 21260: unthrottled=True
[7/20/2026 1:36:29 PM] pid 35196: unthrottled=True
[7/20/2026 1:36:29 PM] pid 37640: unthrottled=True
[7/20/2026 2:19:47 PM] pid 10232: unthrottled=True
[7/20/2026 2:19:47 PM] pid 27432: unthrottled=True
[7/20/2026 5:41:28 PM] pid 13952: unthrottled=True
[7/20/2026 5:41:28 PM] pid 22644: unthrottled=True
[7/20/2026 5:42:28 PM] pid 21212: unthrottled=True
[7/20/2026 5:42:28 PM] pid 25572: unthrottled=True
[7/20/2026 5:49:28 PM] pid 35528: unthrottled=True
[7/20/2026 5:49:28 PM] pid 36472: unthrottled=True
