
   beta_f   cover     W1x1 raw    W2x2 raw    W4x4 raw  z W1x1 raw  z W2x2 raw  z W4x4 raw
     6.11      in    2.477e-04   4.050e-03   1.440e-02       -0.58       -1.62       -0.70
    12.08      in    1.398e-03   1.401e-03   2.449e-03        6.08        1.20       -0.27
    20.29      in    8.927e-04   4.734e-04   2.835e-03        9.00        0.81       -0.65
    30.38      in    5.946e-04   9.190e-04   6.248e-03        8.91        2.42        2.40
    42.42      in    4.514e-04   2.114e-04   1.592e-03        8.73        0.65       -0.67
    55.02      in    7.888e-04   1.026e-03   1.393e-03       21.69        4.40        0.78
    70.45    PAST    2.643e-03   6.840e-03   1.569e-02      -63.38      -33.17      -10.56
    98.47    PAST    8.905e-03   2.161e-02   4.658e-02     -138.26      -81.96      -39.54
   126.47    PAST    1.119e-02   2.634e-02   5.500e-02     -150.06      -95.34      -41.68
   158.48    PAST    1.106e-02   2.519e-02   5.161e-02     -162.46      -88.92      -49.05
   218.58    PAST    1.053e-02   2.343e-02   4.621e-02     -178.79     -112.68      -67.15
   286.49    PAST    1.144e-02   2.564e-02   5.015e-02     -198.47     -127.30      -73.85
   378.49    PAST    1.037e-02   2.287e-02   4.426e-02     -205.40     -135.08      -80.18
   518.49    PAST    8.845e-03   1.870e-02   3.497e-02     -162.62     -103.68      -73.74

wrote out\u1_2d\paper_appendix\figures\46_observable_scan.png
