queued: 36 L=32, 65 L=16/L=8
[ 0.09h] ok      L16b407.306 in   5.7 min  (1/101 done, 34+63 queued)
[ 0.09h] ok      L16b398.985 in   5.7 min  (2/101 done, 34+63 queued)
[ 0.18h] ok      L16b328.665 in   5.4 min  (3/101 done, 34+61 queued)
[ 0.19h] ok      L16b382.123 in   5.9 min  (4/101 done, 34+60 queued)
[ 0.27h] ok      L16b325.625 in   5.2 min  (5/101 done, 34+59 queued)
[ 0.28h] ok      L16b267.858 in   5.2 min  (6/101 done, 34+58 queued)
[ 0.36h] ok      L16b259.756 in   5.3 min  (7/101 done, 34+57 queued)
[ 0.38h] ok      L16b227.317 in   6.0 min  (8/101 done, 34+56 queued)
[ 0.45h] ok      L16b219.641 in   5.5 min  (9/101 done, 34+55 queued)
[ 0.48h] ok      L16b199.229 in   6.0 min  (10/101 done, 34+54 queued)
[ 0.55h] ok      L16b178.465 in   6.0 min  (11/101 done, 34+53 queued)
[ 0.58h] ok      L16b175.176 in   5.9 min  (12/101 done, 34+52 queued)
[ 0.65h] ok      L16b173.021 in   5.7 min  (13/101 done, 34+51 queued)
[ 0.67h] ok      L32b348.923 in  40.0 min  (14/101 done, 34+50 queued)
[ 0.67h] ok      L16b135.861 in   5.7 min  (15/101 done, 33+50 queued)
[ 0.68h] ok      L32b368.788 in  40.5 min  (16/101 done, 33+49 queued)
[ 0.74h] ok      L16b124.263 in   5.4 min  (17/101 done, 32+49 queued)
[ 0.76h] ok      L16b118.401 in   5.3 min  (18/101 done, 32+48 queued)
[ 0.82h] ok       L16b107.02 in   5.2 min  (19/101 done, 32+47 queued)
[ 0.85h] ok      L16b105.244 in   5.3 min  (20/101 done, 32+46 queued)
[ 0.91h] ok       L16b91.854 in   5.0 min  (21/101 done, 32+45 queued)
[ 0.93h] ok      L16b84.6771 in   4.8 min  (22/101 done, 32+44 queued)
[ 0.98h] ok      L16b74.4426 in   4.7 min  (23/101 done, 32+43 queued)
[ 1.01h] ok      L16b67.5917 in   4.8 min  (24/101 done, 32+42 queued)
[ 1.06h] ok      L16b67.4077 in   4.8 min  (25/101 done, 32+41 queued)
[ 1.08h] ok       L16b56.915 in   4.4 min  (26/101 done, 32+40 queued)
[ 1.14h] ok      L16b54.5735 in   4.4 min  (27/101 done, 32+39 queued)
[ 1.16h] ok      L16b52.8118 in   4.4 min  (28/101 done, 32+38 queued)
[ 1.22h] ok      L16b51.0255 in   5.0 min  (29/101 done, 32+37 queued)
