2026-09-06 15:50:10 OVER-CAP ours=4/3 foreign=1 mem=5107/8151MiB util=98% | 11416:28_crossover_scan.py; 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 19688:03_run_ladder.py; 9244:unknown
2026-09-06 15:50:30 ok       ours=3/3 foreign=1 mem=1544/8151MiB util=97% | 11416:28_crossover_scan.py; 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 9244:unknown
2026-09-06 15:51:30 ok       ours=3/3 foreign=2 mem=5107/8151MiB util=98% | 11416:28_crossover_scan.py; 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 9244:unknown; 10232:03_run_ladder.py
2026-09-06 15:52:27 OVER-CAP ours=4/3 foreign=1 mem=5107/8151MiB util=98% | 11416:28_crossover_scan.py; 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 10232:03_run_ladder.py; 9244:unknown
2026-09-06 15:53:56 ok       ours=3/3 foreign=1 mem=1544/8151MiB util=97% | 11416:28_crossover_scan.py; 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 9244:unknown
2026-09-06 15:54:10 ok       ours=3/3 foreign=1 mem=1544/8151MiB util=97% | 11416:28_crossover_scan.py; 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 9244:unknown
2026-09-06 15:56:12 ok       ours=3/3 foreign=1 mem=1544/8151MiB util=97% | 11416:28_crossover_scan.py; 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 9244:unknown
2026-09-06 15:58:13 ok       ours=3/3 foreign=1 mem=1544/8151MiB util=97% | 11416:28_crossover_scan.py; 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 9244:unknown
2026-09-06 16:00:15 ok       ours=3/3 foreign=1 mem=1914/8151MiB util=99% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:02:17 ok       ours=3/3 foreign=1 mem=1968/8151MiB util=99% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:04:19 ok       ours=3/3 foreign=1 mem=1968/8151MiB util=98% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:06:21 ok       ours=3/3 foreign=1 mem=1968/8151MiB util=98% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:08:22 ok       ours=3/3 foreign=1 mem=1968/8151MiB util=99% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:10:24 ok       ours=3/3 foreign=1 mem=1968/8151MiB util=99% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:12:26 ok       ours=3/3 foreign=1 mem=1968/8151MiB util=99% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:14:27 ok       ours=3/3 foreign=1 mem=1968/8151MiB util=99% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:16:29 ok       ours=3/3 foreign=1 mem=1968/8151MiB util=99% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:18:31 ok       ours=3/3 foreign=1 mem=1968/8151MiB util=99% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:20:32 ok       ours=3/3 foreign=1 mem=1968/8151MiB util=99% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:22:34 ok       ours=3/3 foreign=1 mem=1968/8151MiB util=98% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:24:36 ok       ours=3/3 foreign=1 mem=2746/8151MiB util=99% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:26:37 ok       ours=3/3 foreign=1 mem=1968/8151MiB util=99% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:28:39 ok       ours=3/3 foreign=1 mem=1968/8151MiB util=99% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:30:41 ok       ours=3/3 foreign=1 mem=1968/8151MiB util=99% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:32:42 ok       ours=3/3 foreign=1 mem=1968/8151MiB util=98% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:34:44 ok       ours=3/3 foreign=1 mem=1968/8151MiB util=99% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:36:46 ok       ours=3/3 foreign=1 mem=1968/8151MiB util=99% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:38:47 ok       ours=3/3 foreign=1 mem=1968/8151MiB util=99% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
2026-09-06 16:40:49 ok       ours=3/3 foreign=1 mem=1968/8151MiB util=99% | 33404:08_hmc_seed_benchmark.py; 39048:28_crossover_scan.py; 35976:28_crossover_scan.py; 9244:unknown
