cuda | NVIDIA GeForce RTX 5060 Laptop GPU | sm_120 | 8.0 GiB | torch 2.11.0+cu128/cu12.8 | tf32 off
rung L8_b3.5: model beta = 0.6219 (beta/4 = 0.8750, ratio 0.7108), chi_t residual +5.08e-03, 922 train / 102 val
rung L8_b7: model beta = 1.7053 (beta/4 = 1.7500, ratio 0.9744), chi_t residual +2.87e-02, 922 train / 102 val
rung L8_b14: model beta = 3.5601 (beta/4 = 3.5000, ratio 1.0172), chi_t residual +1.82e-02, 922 train / 102 val
rung L16_b14: model beta = 3.5601 (beta/4 = 3.5000, ratio 1.0172), chi_t residual +1.82e-02, 922 train / 102 val
rung L16_b28: model beta = 7.0197 (beta/4 = 7.0000, ratio 1.0028), chi_t residual +2.11e-03, 922 train / 102 val
rung L16_b56: model beta = 14.0079 (beta/4 = 14.0000, ratio 1.0006), chi_t residual +3.90e-04, 922 train / 102 val
rung L16_b51.75: model beta = 12.9461 (beta/4 = 12.9375, ratio 1.0007), chi_t residual +4.66e-04, 922 train / 102 val
rung L32_b56: model beta = 14.0079 (beta/4 = 14.0000, ratio 1.0006), chi_t residual +3.90e-04, 461 train / 51 val
rung L32_b203.15: model beta = 50.7894 (beta/4 = 50.7875, ratio 1.0000), chi_t residual +2.55e-05, 461 train / 51 val
rung L32_b105.651: model beta = 26.4166 (beta/4 = 26.4127, ratio 1.0001), chi_t residual +9.91e-05, 461 train / 51 val
rung L32_b416.524: model beta = 104.1319 (beta/4 = 104.1310, ratio 1.0000), chi_t residual +5.91e-06, 461 train / 51 val
epoch   0  train=0.7733  val_L8_b3.5=0.7838 val_L8_b7=0.7958 val_L8_b14=0.8266 val_L16_b14=0.7311 val_L16_b28=0.8387 val_L16_b56=0.8747 val_L16_b51.75=0.8197 val_L32_b56=0.8281 val_L32_b203.15=0.8887 val_L32_b105.651=0.8927 val_L32_b416.524=0.8876 val_total=9.1674
epoch   1  train=0.7405  val_L8_b3.5=0.7818 val_L8_b7=0.7877 val_L8_b14=0.8087 val_L16_b14=0.7115 val_L16_b28=0.8085 val_L16_b56=0.8317 val_L16_b51.75=0.7856 val_L32_b56=0.7956 val_L32_b203.15=0.8507 val_L32_b105.651=0.8614 val_L32_b416.524=0.8471 val_total=8.8703
epoch   2  train=0.7206  val_L8_b3.5=0.7801 val_L8_b7=0.7797 val_L8_b14=0.7927 val_L16_b14=0.6936 val_L16_b28=0.7825 val_L16_b56=0.7951 val_L16_b51.75=0.7563 val_L32_b56=0.7680 val_L32_b203.15=0.8146 val_L32_b105.651=0.8328 val_L32_b416.524=0.8060 val_total=8.6015
epoch   3  train=0.6999  val_L8_b3.5=0.7786 val_L8_b7=0.7722 val_L8_b14=0.7788 val_L16_b14=0.6783 val_L16_b28=0.7604 val_L16_b56=0.7667 val_L16_b51.75=0.7334 val_L32_b56=0.7467 val_L32_b203.15=0.7844 val_L32_b105.651=0.8090 val_L32_b416.524=0.7698 val_total=8.3783
epoch   4  train=0.6958  val_L8_b3.5=0.7775 val_L8_b7=0.7657 val_L8_b14=0.7638 val_L16_b14=0.6647 val_L16_b28=0.7404 val_L16_b56=0.7448 val_L16_b51.75=0.7147 val_L32_b56=0.7284 val_L32_b203.15=0.7620 val_L32_b105.651=0.7894 val_L32_b416.524=0.7425 val_total=8.1939
epoch   5  train=0.6890  val_L8_b3.5=0.7762 val_L8_b7=0.7589 val_L8_b14=0.7475 val_L16_b14=0.6514 val_L16_b28=0.7209 val_L16_b56=0.7254 val_L16_b51.75=0.6970 val_L32_b56=0.7098 val_L32_b203.15=0.7421 val_L32_b105.651=0.7685 val_L32_b416.524=0.7210 val_total=8.0188
epoch   6  train=0.6919  val_L8_b3.5=0.7746 val_L8_b7=0.7518 val_L8_b14=0.7342 val_L16_b14=0.6406 val_L16_b28=0.7058 val_L16_b56=0.7111 val_L16_b51.75=0.6830 val_L32_b56=0.6950 val_L32_b203.15=0.7251 val_L32_b105.651=0.7515 val_L32_b416.524=0.7033 val_total=7.8760
epoch   7  train=0.6854  val_L8_b3.5=0.7724 val_L8_b7=0.7450 val_L8_b14=0.7248 val_L16_b14=0.6332 val_L16_b28=0.6965 val_L16_b56=0.7031 val_L16_b51.75=0.6747 val_L32_b56=0.6862 val_L32_b203.15=0.7148 val_L32_b105.651=0.7419 val_L32_b416.524=0.6890 val_total=7.7816
epoch   8  train=0.6844  val_L8_b3.5=0.7696 val_L8_b7=0.7389 val_L8_b14=0.7186 val_L16_b14=0.6281 val_L16_b28=0.6908 val_L16_b56=0.6985 val_L16_b51.75=0.6699 val_L32_b56=0.6812 val_L32_b203.15=0.7082 val_L32_b105.651=0.7363 val_L32_b416.524=0.6789 val_total=7.7189
epoch   9  train=0.6814  val_L8_b3.5=0.7666 val_L8_b7=0.7338 val_L8_b14=0.7139 val_L16_b14=0.6243 val_L16_b28=0.6870 val_L16_b56=0.6957 val_L16_b51.75=0.6669 val_L32_b56=0.6781 val_L32_b203.15=0.7041 val_L32_b105.651=0.7328 val_L32_b416.524=0.6722 val_total=7.6755
epoch  10  train=0.6895  val_L8_b3.5=0.7637 val_L8_b7=0.7298 val_L8_b14=0.7105 val_L16_b14=0.6216 val_L16_b28=0.6845 val_L16_b56=0.6938 val_L16_b51.75=0.6649 val_L32_b56=0.6760 val_L32_b203.15=0.7017 val_L32_b105.651=0.7305 val_L32_b416.524=0.6673 val_total=7.6442
epoch  11  train=0.6842  val_L8_b3.5=0.7611 val_L8_b7=0.7265 val_L8_b14=0.7081 val_L16_b14=0.6196 val_L16_b28=0.6828 val_L16_b56=0.6924 val_L16_b51.75=0.6636 val_L32_b56=0.6746 val_L32_b203.15=0.7001 val_L32_b105.651=0.7291 val_L32_b416.524=0.6651 val_total=7.6231
epoch  12  train=0.6789  val_L8_b3.5=0.7590 val_L8_b7=0.7240 val_L8_b14=0.7064 val_L16_b14=0.6180 val_L16_b28=0.6816 val_L16_b56=0.6915 val_L16_b51.75=0.6627 val_L32_b56=0.6736 val_L32_b203.15=0.6989 val_L32_b105.651=0.7278 val_L32_b416.524=0.6626 val_total=7.6060
epoch  13  train=0.6847  val_L8_b3.5=0.7571 val_L8_b7=0.7219 val_L8_b14=0.7051 val_L16_b14=0.6167 val_L16_b28=0.6807 val_L16_b56=0.6908 val_L16_b51.75=0.6620 val_L32_b56=0.6729 val_L32_b203.15=0.6981 val_L32_b105.651=0.7269 val_L32_b416.524=0.6617 val_total=7.5939
epoch  14  train=0.6814  val_L8_b3.5=0.7552 val_L8_b7=0.7201 val_L8_b14=0.7039 val_L16_b14=0.6157 val_L16_b28=0.6799 val_L16_b56=0.6902 val_L16_b51.75=0.6615 val_L32_b56=0.6724 val_L32_b203.15=0.6975 val_L32_b105.651=0.7262 val_L32_b416.524=0.6611 val_total=7.5839
epoch  15  train=0.6817  val_L8_b3.5=0.7535 val_L8_b7=0.7187 val_L8_b14=0.7031 val_L16_b14=0.6149 val_L16_b28=0.6793 val_L16_b56=0.6898 val_L16_b51.75=0.6611 val_L32_b56=0.6720 val_L32_b203.15=0.6970 val_L32_b105.651=0.7258 val_L32_b416.524=0.6601 val_total=7.5753
epoch  16  train=0.6846  val_L8_b3.5=0.7521 val_L8_b7=0.7175 val_L8_b14=0.7021 val_L16_b14=0.6141 val_L16_b28=0.6787 val_L16_b56=0.6894 val_L16_b51.75=0.6607 val_L32_b56=0.6717 val_L32_b203.15=0.6967 val_L32_b105.651=0.7254 val_L32_b416.524=0.6585 val_total=7.5670
epoch  17  train=0.6808  val_L8_b3.5=0.7510 val_L8_b7=0.7165 val_L8_b14=0.7016 val_L16_b14=0.6137 val_L16_b28=0.6784 val_L16_b56=0.6891 val_L16_b51.75=0.6605 val_L32_b56=0.6714 val_L32_b203.15=0.6965 val_L32_b105.651=0.7251 val_L32_b416.524=0.6584 val_total=7.5623
epoch  18  train=0.6792  val_L8_b3.5=0.7499 val_L8_b7=0.7153 val_L8_b14=0.7010 val_L16_b14=0.6132 val_L16_b28=0.6781 val_L16_b56=0.6889 val_L16_b51.75=0.6603 val_L32_b56=0.6712 val_L32_b203.15=0.6963 val_L32_b105.651=0.7249 val_L32_b416.524=0.6578 val_total=7.5569
epoch  19  train=0.6776  val_L8_b3.5=0.7488 val_L8_b7=0.7144 val_L8_b14=0.7004 val_L16_b14=0.6127 val_L16_b28=0.6778 val_L16_b56=0.6887 val_L16_b51.75=0.6601 val_L32_b56=0.6710 val_L32_b203.15=0.6962 val_L32_b105.651=0.7247 val_L32_b416.524=0.6575 val_total=7.5524
epoch  20  train=0.6835  val_L8_b3.5=0.7478 val_L8_b7=0.7136 val_L8_b14=0.7000 val_L16_b14=0.6124 val_L16_b28=0.6776 val_L16_b56=0.6886 val_L16_b51.75=0.6600 val_L32_b56=0.6709 val_L32_b203.15=0.6960 val_L32_b105.651=0.7245 val_L32_b416.524=0.6573 val_total=7.5486
epoch  21  train=0.6813  val_L8_b3.5=0.7469 val_L8_b7=0.7129 val_L8_b14=0.6994 val_L16_b14=0.6121 val_L16_b28=0.6774 val_L16_b56=0.6884 val_L16_b51.75=0.6598 val_L32_b56=0.6708 val_L32_b203.15=0.6958 val_L32_b105.651=0.7244 val_L32_b416.524=0.6570 val_total=7.5448
epoch  22  train=0.6812  val_L8_b3.5=0.7461 val_L8_b7=0.7121 val_L8_b14=0.6990 val_L16_b14=0.6118 val_L16_b28=0.6772 val_L16_b56=0.6883 val_L16_b51.75=0.6597 val_L32_b56=0.6707 val_L32_b203.15=0.6956 val_L32_b105.651=0.7242 val_L32_b416.524=0.6568 val_total=7.5414
epoch  23  train=0.6754  val_L8_b3.5=0.7454 val_L8_b7=0.7113 val_L8_b14=0.6986 val_L16_b14=0.6114 val_L16_b28=0.6770 val_L16_b56=0.6881 val_L16_b51.75=0.6596 val_L32_b56=0.6705 val_L32_b203.15=0.6955 val_L32_b105.651=0.7241 val_L32_b416.524=0.6567 val_total=7.5382
epoch  24  train=0.6803  val_L8_b3.5=0.7446 val_L8_b7=0.7107 val_L8_b14=0.6982 val_L16_b14=0.6113 val_L16_b28=0.6769 val_L16_b56=0.6880 val_L16_b51.75=0.6595 val_L32_b56=0.6704 val_L32_b203.15=0.6954 val_L32_b105.651=0.7240 val_L32_b416.524=0.6563 val_total=7.5353
epoch  25  train=0.6802  val_L8_b3.5=0.7439 val_L8_b7=0.7101 val_L8_b14=0.6979 val_L16_b14=0.6111 val_L16_b28=0.6767 val_L16_b56=0.6879 val_L16_b51.75=0.6594 val_L32_b56=0.6703 val_L32_b203.15=0.6953 val_L32_b105.651=0.7239 val_L32_b416.524=0.6561 val_total=7.5327
epoch  26  train=0.6804  val_L8_b3.5=0.7432 val_L8_b7=0.7095 val_L8_b14=0.6976 val_L16_b14=0.6108 val_L16_b28=0.6766 val_L16_b56=0.6879 val_L16_b51.75=0.6593 val_L32_b56=0.6702 val_L32_b203.15=0.6952 val_L32_b105.651=0.7237 val_L32_b416.524=0.6560 val_total=7.5301
epoch  27  train=0.6738  val_L8_b3.5=0.7426 val_L8_b7=0.7089 val_L8_b14=0.6973 val_L16_b14=0.6106 val_L16_b28=0.6765 val_L16_b56=0.6878 val_L16_b51.75=0.6592 val_L32_b56=0.6701 val_L32_b203.15=0.6951 val_L32_b105.651=0.7237 val_L32_b416.524=0.6558 val_total=7.5276
epoch  28  train=0.6793  val_L8_b3.5=0.7420 val_L8_b7=0.7085 val_L8_b14=0.6971 val_L16_b14=0.6104 val_L16_b28=0.6764 val_L16_b56=0.6878 val_L16_b51.75=0.6591 val_L32_b56=0.6701 val_L32_b203.15=0.6950 val_L32_b105.651=0.7236 val_L32_b416.524=0.6556 val_total=7.5256
epoch  29  train=0.6793  val_L8_b3.5=0.7412 val_L8_b7=0.7079 val_L8_b14=0.6969 val_L16_b14=0.6103 val_L16_b28=0.6763 val_L16_b56=0.6877 val_L16_b51.75=0.6591 val_L32_b56=0.6700 val_L32_b203.15=0.6950 val_L32_b105.651=0.7235 val_L32_b416.524=0.6555 val_total=7.5235
epoch  30  train=0.6739  val_L8_b3.5=0.7405 val_L8_b7=0.7076 val_L8_b14=0.6965 val_L16_b14=0.6101 val_L16_b28=0.6763 val_L16_b56=0.6876 val_L16_b51.75=0.6590 val_L32_b56=0.6699 val_L32_b203.15=0.6949 val_L32_b105.651=0.7235 val_L32_b416.524=0.6554 val_total=7.5213
epoch  31  train=0.6791  val_L8_b3.5=0.7400 val_L8_b7=0.7073 val_L8_b14=0.6962 val_L16_b14=0.6099 val_L16_b28=0.6762 val_L16_b56=0.6876 val_L16_b51.75=0.6590 val_L32_b56=0.6699 val_L32_b203.15=0.6948 val_L32_b105.651=0.7234 val_L32_b416.524=0.6552 val_total=7.5194
epoch  32  train=0.6698  val_L8_b3.5=0.7394 val_L8_b7=0.7069 val_L8_b14=0.6961 val_L16_b14=0.6098 val_L16_b28=0.6762 val_L16_b56=0.6875 val_L16_b51.75=0.6589 val_L32_b56=0.6698 val_L32_b203.15=0.6948 val_L32_b105.651=0.7233 val_L32_b416.524=0.6551 val_total=7.5177
epoch  33  train=0.6771  val_L8_b3.5=0.7388 val_L8_b7=0.7066 val_L8_b14=0.6959 val_L16_b14=0.6096 val_L16_b28=0.6762 val_L16_b56=0.6875 val_L16_b51.75=0.6588 val_L32_b56=0.6697 val_L32_b203.15=0.6948 val_L32_b105.651=0.7233 val_L32_b416.524=0.6551 val_total=7.5162
epoch  34  train=0.6744  val_L8_b3.5=0.7380 val_L8_b7=0.7063 val_L8_b14=0.6956 val_L16_b14=0.6095 val_L16_b28=0.6761 val_L16_b56=0.6874 val_L16_b51.75=0.6588 val_L32_b56=0.6696 val_L32_b203.15=0.6947 val_L32_b105.651=0.7232 val_L32_b416.524=0.6553 val_total=7.5144
epoch  35  train=0.6780  val_L8_b3.5=0.7372 val_L8_b7=0.7060 val_L8_b14=0.6955 val_L16_b14=0.6093 val_L16_b28=0.6760 val_L16_b56=0.6874 val_L16_b51.75=0.6587 val_L32_b56=0.6695 val_L32_b203.15=0.6947 val_L32_b105.651=0.7231 val_L32_b416.524=0.6549 val_total=7.5124
